kyu,waza,taijutsu,embeded,disco_tissier,otro
1,tachi waza,morote dori (libre),,,
1,tachi waza,morote dori koshi nage,,,
1,tachi waza,ryote dori (libre),,,
1,tachi waza,shomen uchi (libre),,,
1,tachi waza,shomen uchi kaiten nage,,https://youtu.be/CIXkFct9OtA?t=1627,
1,tachi waza,ushiro ryokata dori ikkyo,,,https://www.youtube.com/watch?v=LHZAQrneXnw
1,tachi waza,ushiro ryokata dori kokyu nage,,,
1,tachi waza,ushiro ryokata dori libre,,,
1,tachi waza,ushiro ryokata dori nikyo,,,
1,tachi waza,ushiro ryote dori  koshi nage,,,
1,tachi waza,ushiro ryote dori (libre),,,
1,tachi waza,ushiro ryote dori nikyo omote ,,,
1,tachi waza,ushiro ryote dori nikyo ura  ,,,
1,tachi waza,ushiro ryote dori sankyo omote ,,,
1,tachi waza,ushiro ryote dori sankyo ura   ,,,
1,tachi waza,ushiro ryote dori shiho nage omote,,,
1,tachi waza,ushiro ryote dori shiho nage ura ,,,
1,tachi waza,ushiro ryote dori yonkyo omote ,,,
1,tachi waza,ushiro ryote dori yonkyo ura  ,,,
1,tachi waza,yokomen uchi (libre),,,
